;user_id;questions_135556_what_is_your_gender;questions_135557_how_old_are_you;LSM_group1;questions_135613_who_do_you_share_your_home_with;questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with;questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply;questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3;questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways;questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily;questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us;questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply;questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply;questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
356;375319980;Female;45+;Low;"[""Partner / spouse"", ""Children over 18 years old"", ""Other family members""]";;"[""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Taking time to relax""]";"[""To manage a health / medical condition"", ""Feeling good about myself"", ""To lose / manage my weight""]";"[""Low salt"", ""Low sugar"", ""Low / zero carb"", ""High protein""]";"[""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Eating dessert less often"", ""Snacking less often"", ""Filling half my plate with vegetables""]";3+ times a week;"[""Walking"", ""Cardio / Aerobics / Water aerobics""]";"[""No, none of these""]";"[""No, none of these""]"
357;6209864035;Male;18-24;Medium;"[""Parents""]";4;"[""Taking time to relax"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Exercise regularly""]";"[""Prevent health conditions in later life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Cooking more meals at home""]";3+ times a week;"[""Running"", ""Swimming"", ""Cycling""]";"[""Have a bath"", ""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Alcohol"", ""Browsing on my cell phone / tablet"", ""Watching TV"", ""Caffeine""]"
359;4824157250;Female;25-34;Low;"[""Partner / spouse"", ""Children under 18 years old""]";3;"[""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Stay hydrated"", ""Eat healthily""]";"[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]";"[""Halal""]";"[""Eating out / ordering takeout less frequently"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions""]";Few times a month;"[""Cycling"", ""Other""]";"[""No, none of these""]";"[""Heavy meal"", ""Browsing on my cell phone / tablet""]"
365;561921312;Male;35-44;Medium;"[""Friends / Flatmates""]";2;"[""Eat healthily""]";"[""Have more energy"", ""To live longer""]";"[""Low calorie""]";"[""Snacking less often""]";3+ times a week;"[""Other""]";"[""No, none of these""]";"[""No, none of these""]"
367;2959679448;Female;18-24;Low;"[""Partner / spouse""]";2;"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Eat healthily""]";"[""To set a good example for my family"", ""To make the most out of/enjoy life"", ""To lose / manage my weight""]";"[""Low / zero carb""]";"[""Making an effort to find healthy recipes""]";Once a week;"[""Spinning""]";"[""No, none of these""]";"[""No, none of these""]"
368;1197675864;Female;46-55;High ;"[""Partner / spouse"", ""Children over 18 years old""]";;"[""Drink lots of water/fluids"", ""Exercise regularly"", ""Taking time to relax"", ""Eat healthily"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep""]";"[""To support my family"", ""To lose / manage my weight"", ""Have more energy""]";"[""None of the above""]";"[""Eating dessert less often"", ""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home"", ""Watching the size of my portions"", ""Making an effort to find healthy recipes"", ""Filling half my plate with vegetables""]";Less often;;"[""No, none of these""]";"[""Caffeine""]"
369;5094551262;Female;25-34;High;"[""Partner / spouse""]";2;"[""Exercise regularly"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids""]";"[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To improve brain function/ memory""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal"", ""Low calorie""]";"[""Making an effort to find healthy recipes"", ""Intermittent fasting"", ""Checking nutritional value of the food / drink I purchase""]";Once a week;"[""Circuit training/ HIIT"", ""Other""]";"[""No, none of these""]";"[""Heavy meal""]"
370;2778456075;Female;45+;Medium;"[""Friends / Flatmates""]";2;"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids""]";"[""To improve brain function/ memory"", ""To improve my sleep"", ""Have more energy""]";"[""Low / zero carb"", ""Low cholesterol"", ""Low salt"", ""Low sugar""]";"[""None of the above""]";3+ times a week;"[""Walking""]";"[""No, none of these""]";"[""No, none of these""]"
372;6138527813;Female;18-24;Medium;"[""Parents""]";3;"[""Stay hydrated"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax""]";"[""To make the most of treats / indulgent moments"", ""To lose / manage my weight"", ""Feeling good about myself""]";"[""None of the above""]";"[""Watching the size of my portions"", ""Counting / tracking calories"", ""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Eating out at places that have healthy options available"", ""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse"", ""Making an effort to find healthy recipes"", ""Shopping at places that have a wide selection of healthy options""]";Once a week;"[""Aerobics"", ""Walking"", ""Hiking"", ""Yoga/Pilates""]";"[""Have a bath""]";"[""No, none of these""]"
373;1057899384;Female;45+;Medium;"[""Partner / spouse"", ""Children over 18 years old""]";5+;"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly""]";"[""To live longer"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]";"[""Low / zero carb"", ""Low sugar"", ""Pescatarian: eat no meat"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Vegetarian: eat no meat or fish""]";"[""Snacking less often"", ""Intermittent fasting"", ""Checking nutritional value of the food / drink I purchase"", ""Eating dessert less often"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions""]";3+ times a week;"[""Cardio / Aerobics / Water aerobics"", ""Yoga/Pilates"", ""Aerobics""]";"[""Remove screens from bedrooms e.g. TV, cell phone"", ""Other""]";"[""Heavy meal"", ""Browsing on my mobile  phone / tablet"", ""Checking emails"", ""Caffeine""]"
375;6100648100;Female;18-24;Low;"[""Partner / spouse""]";3;"[""Taking time to relax"", ""Stay hydrated"", ""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep""]";"[""To lose / manage my weight"", ""Feeling good about myself"", ""Have more energy""]";"[""None of the above""]";"[""Snacking less often"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase""]";Never;;"[""No, none of these""]";"[""Browsing on my cell phone / tablet"", ""Heavy meal""]"
377;5548561020;Male;18-24;Medium;"[""Parents""]";4;"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Make sure I get enough sleep""]";"[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]";"[""None of the above""]";"[""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
378;6179686845;Female;18-24;High;"[""Other family members""]";5+;"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stress control methods""]";"[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To make the most out of/enjoy life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""Low / zero carb"", ""Paleo""]";"[""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Filling half my plate with vegetables""]";Twice a week;"[""Cardio / Aerobics / Water aerobics"", ""Aerobics"", ""Walking""]";"[""Have a bath""]";"[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
383;3074175780;Male;25-34;High;"[""Partner / spouse""]";1;"[""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Taking time to relax""]";"[""To make the most out of/enjoy life"", ""To live longer"", ""Have more energy""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Making an effort to find healthy recipes""]";Twice a week;"[""Running"", ""Other""]";"[""No, none of these""]";"[""Caffeine""]"
384;3175654468;Male;35-44;High;"[""Partner / spouse""]";3;"[""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated""]";"[""To lose / manage my weight"", ""Prevent health conditions in later life"", ""To live longer""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""Low salt""]";"[""Cooking more meals at home"", ""Making an effort to find healthy recipes"", ""Checking nutritional value of the food / drink I purchase""]";Less often;;"[""Have herbal tea""]";"[""Heavy meal"", ""Alcohol""]"
390;5197781694;Male;18-24;Low;"[""Parents"", ""Other family members""]";4;"[""Exercise regularly""]";"[""Prevent health conditions in later life"", ""To manage a health / medical condition"", ""To set a good example for my family""]";"[""Keto""]";"[""Checking / reading the ingredients in food / drink products""]";3+ times a week;"[""Running""]";"[""Have a bath""]";"[""Alcohol""]"
391;2679153318;Female;25-34;Medium;"[""Parents""]";5+;"[""Drink lots of water / fluids""]";"[""To set a good example for my family"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]";"[""Vegetarian: eat no meat or fish""]";"[""Making an effort to find healthy recipes""]";Less often;;"[""Other""]";"[""Caffeine""]"
393;3142619040;Female;18-24;Medium;"[""Partner / spouse"", ""Children under 18 years old""]";4;"[""Make sure I get enough sleep"", ""Taking time to relax""]";"[""To set a good example for my family"", ""Prevent health conditions in later life"", ""Specific event (e.g. holiday, wedding)""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Snacking less often""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
394;713118393;Female;45+;Low;"[""Partner / spouse"", ""Children under 18 years old""]";3;"[""Drink lots of water / fluids"", ""Eat healthily"", ""Stay hydrated"", ""Stress control methods""]";"[""To make the most out of/enjoy life"", ""Have more energy"", ""To set a good example for my family""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Watching the size of my portions"", ""Snacking less often""]";Twice a week;"[""Weights"", ""Walking""]";"[""No, none of these""]";"[""No, none of these""]"
397;5237033200;Male;25-34;High;"[""Parents""]";5+;"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily""]";"[""To live longer"", ""Prevent health conditions in later life"", ""To support my family""]";"[""Halal""]";"[""Trying to have a variety of colors on my plate""]";3+ times a week;"[""Strength training"", ""Running"", ""Weights""]";"[""Have a malted milk drink"", ""Have herbal tea""]";"[""Caffeine""]"
398;4991753304;Male;18-24;Low;"[""Parents""]";2;"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Stress control methods""]";"[""Feeling good about myself"", ""Have more energy"", ""To make the most of treats / indulgent moments""]";"[""None of the above""]";"[""Snacking less often"", ""Cooking more meals at home""]";3+ times a week;"[""Strength training"", ""Cycling""]";"[""No, none of these""]";"[""Caffeine""]"
399;5637241157;Female;35-44;High;"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]";5+;"[""Drink lots of water / fluids""]";"[""To manage a health / medical condition"", ""Feeling good about myself""]";"[""Flexitarian: eat meat but control the amount eaten""]";"[""Checking / reading the ingredients in food / drink products""]";Less often;;"[""Take sleeping tablets""]";"[""No, none of these""]"
400;3711748152;Female;45+;Medium;"[""Partner / spouse"", ""Children over 18 years old""]";3;"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]";"[""Feeling good about myself"", ""Have more energy"", ""To make the most out of/enjoy life""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar"", ""Low salt""]";"[""Watching the size of my portions"", ""Trying to have a variety of colors on my plate"", ""Shopping at places that have a wide selection of healthy options""]";Twice a week;"[""Cardio / Aerobics / Water aerobics""]";"[""No, none of these""]";"[""Watching TV""]"
401;1601878159;Male;18-24;High;"[""I live alone""]";1;"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]";"[""To manage a health / medical condition"", ""To live longer"", ""Feeling good about myself""]";"[""Halal""]";"[""Eating out / ordering takeout less frequently""]";Never;;"[""Have a bath""]";"[""Alcohol""]"
404;1396440480;Female;45+;High;"[""Parents""]";2;"[""Take vitamin / other supplements""]";"[""Prevent health conditions in later life"", ""To live longer"", ""To make the most out of/enjoy life""]";"[""Paleo""]";"[""Snacking less often"", ""Eating dessert less often""]";Less often;;"[""No, none of these""]";"[""Caffeine""]"
405;7582747648;Female;45+;High;"[""Other family members""]";4;"[""Eat healthily"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Exercise regularly""]";"[""To support my family"", ""To manage a health / medical condition"", ""To live longer""]";"[""Flexitarian: eat meat but control the amount eaten""]";"[""Snacking less often"", ""Cooking more meals at home"", ""Eating dessert less often""]";Twice a week;"[""Walking""]";"[""Have a bath"", ""Have warm milk""]";"[""Alcohol"", ""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Watching TV"", ""Caffeine""]"
408;4085907336;Female;35-44;Medium;"[""Partner / spouse"", ""Children over 18 years old""]";3;"[""Drink lots of water / fluids""]";"[""Prevent health conditions in later life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Snacking less often""]";Twice a week;"[""Cycling""]";"[""Have warm milk""]";"[""Checking emails"", ""Caffeine""]"
409;722008368;Male;45+;High;"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]";4;"[""Make sure I get enough sleep"", ""Stress control methods"", ""Taking time to relax"", ""Stay hydrated"", ""Drink lots of water / fluids""]";"[""To live longer"", ""To improve brain function/ memory"", ""To set a good example for my family""]";"[""Low sugar"", ""Low salt"", ""Dairy free""]";"[""Eating dessert less often"", ""Watching the size of my portions"", ""Trying to have a variety of colors on my plate"", ""Snacking less often"", ""Checking / reading the ingredients in food / drink products""]";Few times a month;"[""Hiking"", ""Walking""]";"[""No, none of these""]";"[""Heavy meal""]"
411;5848700154;Female;25-34;Medium;"[""I live alone""]";1;"[""Stress control methods"", ""Drink lots of water / fluids"", ""Eat healthily""]";"[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""To support my family""]";"[""Keto""]";"[""Filling half my plate with vegetables""]";Twice a week;"[""Other""]";"[""Have a bath""]";"[""Heavy meal"", ""Caffeine""]"
418;1104431296;Female;18-24;Medium;"[""Parents""]";5+;"[""Eat healthily"", ""Make sure I get enough sleep""]";"[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To improve my sleep""]";"[""Vegetarian: eat no meat or fish""]";"[""Eating dessert less often""]";Few times a month;"[""Running""]";"[""No, none of these""]";"[""Watching TV""]"
421;3263882499;Male;25-34;Medium;"[""Friends / Roommates"", ""Parents""]";4;"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Make sure I get enough sleep""]";"[""To make the most of treats / indulgent moments"", ""To improve brain function/ memory"", ""To improve my sleep""]";"[""Kosher"", ""Low / zero carb""]";"[""Eating out at places that have healthy options available"", ""Snacking less often"", ""Watching the size of my portions"", ""Counting / tracking calories""]";3+ times a week;"[""Walking"", ""Swimming"", ""Yoga/Pilates"", ""Strength training""]";"[""No, none of these""]";"[""Browsing on my cell phone / tablet"", ""Watching TV""]"
422;5183297325;Male;18-24;High;"[""Parents""]";5+;"[""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]";"[""To set a good example for my family"", ""Have more energy"", ""To lose / manage my weight""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""High protein""]";"[""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home""]";Few times a month;"[""Running"", ""Cycling"", ""Walking""]";"[""No, none of these""]";"[""Alcohol""]"
423;5763560385;Female;18-24;Medium;"[""I live alone""]";1;"[""Eat healthily""]";"[""Prevent health conditions in later life"", ""Feeling good about myself""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt""]";"[""Cooking more meals at home"", ""Snacking less often""]";Once a week;"[""Walking"", ""Hiking""]";"[""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Checking emails"", ""Caffeine"", ""Watching TV"", ""Heavy meal""]"
424;1957570233;Male;18-24;Low;"[""Children under 18 years old""]";5+;"[""Drink lots of water / fluids""]";"[""To improve brain function/ memory"", ""Have more energy"", ""To make the most out of/enjoy life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free""]";"[""Cooking more meals at home"", ""Shopping at places that have a wide selection of healthy options"", ""Checking nutritional value of the food / drink I purchase""]";Once a week;"[""Swimming""]";"[""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Browsing on my cell phone / tablet""]"
425;946426700;Male;18-24;High;"[""Children under 18 years old"", ""Children over 18 years old"", ""Parents"", ""Other family members""]";5+;"[""Take vitamin / other supplements"", ""Stress control methods"", ""Taking time to relax"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids""]";"[""To make the most of treats / indulgent moments"", ""To improve brain function/ memory"", ""To make the most out of/enjoy life""]";"[""Low sugar"", ""Low calorie"", ""Halal"", ""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Snacking less often"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out / ordering takeout less frequently""]";Less often;;"[""Have a bath"", ""Take herbal supplements"", ""Have herbal tea""]";"[""Watching TV"", ""Caffeine"", ""Browsing on my cell phone / tablet""]"
426;3384715880;Male;25-34;High;"[""Partner / spouse""]";2;"[""Stay hydrated"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Meditation / positive mindset methods""]";"[""Feeling good about myself"", ""To improve brain function/ memory"", ""Have more energy""]";"[""None of the above""]";"[""Snacking less often""]";3+ times a week;"[""Weights""]";"[""Meditate""]";"[""Caffeine"", ""Heavy meal"", ""Watching TV""]"
427;742337997;Male;45+;High;"[""Partner / spouse"", ""Children under 18 years old""]";4;"[""Taking time to relax"", ""Take vitamin / other supplements"", ""Drink lots of water / fluids""]";"[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]";"[""Halal"", ""Low sugar"", ""Low salt""]";"[""Eating out / ordering takeout less frequently"", ""Eating dessert less often""]";Few times a month;"[""Hiking"", ""Walking""]";"[""No, none of these""]";"[""Heavy meal""]"
428;4301841184;Male;18-24;Medium;"[""Parents""]";4;"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily""]";"[""To improve my sleep"", ""Feeling good about myself"", ""To manage a health / medical condition""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Counting / tracking calories""]";Twice a week;"[""Running""]";"[""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Browsing on my cell phone / tablet""]"
429;687097989;Male;25-34;Low;"[""Parents""]";2;"[""Eat healthily"", ""Drink lots of water / fluids""]";"[""To improve brain function/ memory"", ""To live longer"", ""Have more energy""]";"[""Vegan: eat no meat, fish, or dairy""]";"[""Cooking more meals at home""]";Few times a month;"[""Weights"", ""Walking""]";"[""No, none of these""]";"[""No, none of these""]"
431;4586234763;Female;18-24;High;"[""Parents""]";4;"[""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Drink lots of water / fluids""]";"[""To improve brain function/ memory"", ""To improve my sleep"", ""To make the most out of/enjoy life""]";"[""Halal"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Snacking less often"", ""Making an effort to find healthy recipes""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
433;3432836851;Male;18-24;High;"[""Parents""]";5+;"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Exercise regularly"", ""Meditation / positive mindset methods""]";"[""Feeling good about myself""]";"[""Vegetarian: eat no meat or fish""]";"[""Shopping at places that have a wide selection of healthy options""]";Twice a week;"[""Cycling"", ""Swimming"", ""Running""]";"[""No, none of these""]";"[""No, none of these""]"
434;1252904588;Male;35-44;High;"[""Partner / spouse""]";3;"[""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly""]";"[""To set a good example for my family"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]";"[""Halal"", ""High protein"", ""Low calorie"", ""Low / zero carb""]";"[""Watching the size of my portions"", ""Eating dessert less often"", ""Trying to have a variety of colors on my plate""]";3+ times a week;"[""Running"", ""Cardio / Aerobics / Water aerobics"", ""Strength training"", ""Weights""]";"[""No, none of these""]";"[""Alcohol"", ""Heavy meal"", ""Caffeine""]"
435;596878380;Female;25-34;High;"[""Parents"", ""Other family members""]";4;"[""Take vitamin / other supplements"", ""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep""]";"[""To make the most of treats / indulgent moments"", ""Feeling good about myself"", ""To make the most out of/enjoy life""]";"[""Halal"", ""Low salt"", ""Low sugar"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Trying to have a variety of colors on my plate"", ""Watching the size of my portions"", ""Eating out / ordering takeout less frequently"", ""Filling half my plate with vegetables"", ""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home""]";Once a week;"[""Running"", ""Weights"", ""Walking""]";"[""No, none of these""]";"[""Heavy meal"", ""Alcohol"", ""Caffeine""]"
437;1478280745;Other;18-24;Low;"[""Other family members"", ""Parents""]";5+;"[""Stay hydrated"", ""Make sure I get enough sleep""]";"[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Making an effort to find healthy recipes"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options""]";Never;;"[""Meditate""]";"[""Checking emails"", ""Browsing on my cell phone / tablet""]"
440;3201394502;Male;18-24;High;"[""Parents""]";4;"[""Drink lots of water / fluids"", ""Exercise regularly""]";"[""To make the most of treats / indulgent moments"", ""Have more energy"", ""To lose / manage my weight""]";"[""Halal""]";"[""Shopping at places that have a wide selection of healthy options""]";3+ times a week;"[""Cardio / Aerobics / Water aerobics"", ""Running"", ""Weights"", ""Strength training"", ""Circuit training/ HIIT""]";"[""Have warm milk""]";"[""Heavy meal""]"
441;3408948279;Female;18-24;High;"[""I live alone""]";1;"[""Drink lots of water / fluids"", ""Stress control methods"", ""Meditation / positive mindset methods"", ""Taking time to relax"", ""Stay hydrated"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep""]";"[""Have more energy"", ""To lose / manage my weight"", ""To improve my sleep""]";"[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Checking nutritional value of the food / drink I purchase""]";Twice a week;"[""Cycling"", ""Running"", ""Walking"", ""Yoga/Pilates""]";"[""Have a bath""]";"[""Browsing on my cell phone / tablet""]"
443;4039058145;Female;25-34;Low;"[""Partner / spouse""]";4;"[""Eat healthily"", ""Take vitamin / other supplements"", ""Drink lots of water / fluids"", ""Exercise regularly""]";"[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To set a good example for my family""]";"[""Low cholesterol""]";"[""Checking nutritional value of the food / drink I purchase""]";Once a week;"[""Walking"", ""Running""]";"[""No, none of these""]";"[""Browsing on my cell phone / tablet""]"
445;5332610270;Male;18-24;Medium;"[""Parents""]";5+;"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Meditation / positive mindset methods"", ""Eat healthily""]";"[""To make the most of treats / indulgent moments"", ""Have more energy"", ""To set a good example for my family""]";"[""Flexitarian: eat meat but control the amount eaten""]";"[""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Snacking less often""]";3+ times a week;"[""Running""]";"[""Have warm milk""]";"[""Watching TV""]"
447;1158443008;Female;25-34;Medium;"[""I live alone""]";1;"[""Eat healthily"", ""Stay hydrated"", ""Make sure I get enough sleep""]";"[""To lose / manage my weight"", ""Feeling good about myself"", ""To make the most of treats / indulgent moments""]";"[""Low sugar""]";"[""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Making an effort to find healthy recipes"", ""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables"", ""Snacking less often"", ""Eating dessert less often""]";Less often;;"[""No, none of these""]";"[""Alcohol"", ""Caffeine"", ""Heavy meal"", ""Checking emails""]"
448;6097328985;Female;25-34;High;"[""Partner / spouse"", ""Children under 18 years old""]";3;"[""Taking time to relax"", ""Eat healthily"", ""Take vitamin / other supplements""]";"[""To support my family"", ""To manage a health / medical condition"", ""To set a good example for my family""]";"[""High protein"", ""Low sugar"", ""Low cholesterol""]";"[""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Making an effort to find healthy recipes""]";Few times a month;"[""Swimming""]";"[""No, none of these""]";"[""No, none of these""]"
451;5360103864;Male;35-44;Medium;"[""Parents""]";4;"[""Exercise regularly"", ""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Taking time to relax""]";"[""Prevent health conditions in later life"", ""To live longer"", ""To improve brain function/ memory""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Filling half my plate with vegetables""]";3+ times a week;"[""Running""]";"[""Have a bath""]";"[""Caffeine""]"
452;3447990182;Female;45+;High;"[""Partner / spouse""]";4;"[""Stay hydrated"", ""Exercise regularly"", ""Taking time to relax""]";"[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]";Como normalmente o que gosto. Não tenho restrinções alimentares.;"[""Trying to have a variety of colors on my plate"", ""Snacking less often""]";Twice a week;"[""Hiking""]";"[""No, none of these""]";"[""No, none of these""]"
453;6451649134;Male;25-34;Medium;"[""Partner / spouse""]";2;"[""Exercise regularly"", ""Taking time to relax"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily""]";"[""To improve my sleep"", ""Feeling good about myself"", ""Prevent health conditions in later life""]";"[""Keto"", ""Low sugar"", ""Low / zero carb"", ""Low calorie"", ""Low cholesterol""]";"[""Filling half my plate with vegetables"", ""Making an effort to find healthy recipes"", ""Shopping at places that have a wide selection of healthy options"", ""Eating dessert less often"", ""Snacking less often"", ""Trying to have a variety of colors on my plate""]";Once a week;"[""Running""]";"[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Checking emails"", ""Caffeine"", ""Watching TV"", ""Heavy meal"", ""Browsing on my cell phone / tablet""]"
