,user_id,questions_135556_what_is_your_gender,questions_135557_how_old_are_you,LSM_group1,questions_135613_who_do_you_share_your_home_with,questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with,questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply,questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3,questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways,questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily,questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us,questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply,questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply,questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
306,3877928772.0,Female,25-34,High,"[""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""High protein"", ""Low cholesterol"", ""Low / zero carb""]","[""Watching the size of my portions"", ""Snacking less often"", ""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Intermittent fasting""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Hiking"", ""Walking""]","[""Have a bath""]","[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
307,6307827670.0,Male,18-24,Low,"[""Parents""]",4,"[""Exercise regularly""]","[""Prevent health conditions in later life"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Dairy free""]","[""Filling half my plate with vegetables""]",Twice a week,"[""Running""]","[""No, none of these""]","[""Browsing on my cell phone / tablet""]"
310,6182883000.0,Male,18-24,Low,"[""Parents""]",5+,"[""Exercise regularly""]","[""Feeling good about myself"", ""To lose / manage my weight""]","[""Halal""]","[""Checking / reading the ingredients in food / drink products""]",Twice a week,"[""Running"", ""Weights"", ""Cycling""]","[""No, none of these""]","[""No, none of these""]"
314,1310943472.0,Female,35-44,Low,"[""Children under 18 years old"", ""Parents""]",4,"[""Taking time to relax"", ""Stay hydrated"", ""Make sure I get enough sleep""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Dairy free"", ""Low cholesterol""]","[""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Cooking more meals at home"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate""]",Few times a month,"[""Walking""]","[""Have herbal tea""]","[""Heavy meal"", ""Alcohol""]"
315,1056569895.0,Male,35-44,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To live longer"", ""To make the most of treats / indulgent moments"", ""To set a good example for my family""]","[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Eating out at places that have healthy options available""]",Twice a week,"[""Walking"", ""Cycling""]","[""Have a bath""]","[""Caffeine"", ""Alcohol""]"
316,8426828885.0,Male,45+,Medium,"[""Partner / spouse""]",2,"[""Taking time to relax"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To support my family"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Shopping at places that have a wide selection of healthy options"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",Twice a week,"[""Walking""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
319,2775914890.0,Female,35-44,Medium,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free"", ""Low sugar""]","[""Trying to have a variety of colors on my plate"", ""Intermittent fasting""]",Twice a week,"[""Cycling""]","[""Have herbal tea""]","[""Heavy meal""]"
322,502891118.0,Female,45+,Medium,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Eat healthily""]","[""To live longer"", ""To make the most of treats / indulgent moments"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking / reading the ingredients in food / drink products"", ""Snacking less often"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
323,3362900784.0,Female,35-44,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To live longer"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Halal""]","[""Cooking more meals at home""]",Never,,"[""No, none of these""]","[""No, none of these""]"
328,7103285075.0,Male,45+,High,"[""Parents""]",4,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Have more energy"", ""To improve my sleep"", ""To set a good example for my family""]","[""Organic"", ""Vegan: eat no meat, fish, or dairy"", ""Vegetarian: eat no meat or fish""]","[""Making an effort to find healthy recipes"", ""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Running"", ""Weights"", ""Walking""]","[""Have herbal tea"", ""Meditate"", ""Have a malted milk drink"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
331,2851590455.0,Female,45+,Medium,"[""Children under 18 years old""]",2,"[""Make sure I get enough sleep""]","[""To make the most of treats / indulgent moments"", ""To improve my sleep"", ""To live longer""]","[""None of the above""]","[""None of the above""]",Never,,"[""Take sleeping tablets""]","[""Caffeine""]"
332,6791361840.0,Female,18-24,High,"[""I live alone""]",1,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""To live longer"", ""Have more energy"", ""To make the most of treats / indulgent moments""]","[""Vegetarian: eat no meat or fish""]","[""Making an effort to find healthy recipes""]",Twice a week,"[""Hiking"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
334,1515438925.0,Female,35-44,Medium,"[""Children under 18 years old"", ""Partner / spouse"", ""Parents""]",5+,"[""Drink lots of water / fluids"", ""Stress control methods""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Low sugar"", ""Low salt""]","[""Snacking less often"", ""Eating dessert less often"", ""Watching the size of my portions""]",Once a week,"[""Yoga/Pilates""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
339,6475765942.0,Female,45+,High,"[""Other family members""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax""]","[""To live longer"", ""To support my family"", ""Have more energy""]","[""Flexitarian: eat meat but control the amount eaten"", ""Keto"", ""Dairy free"", ""Low sugar"", ""Paleo""]","[""Watching the size of my portions"", ""Cooking more meals at home"", ""Snacking less often"", ""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Walking"", ""Running""]","[""No, none of these""]","[""Heavy meal"", ""Checking emails"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Alcohol""]"
340,6917406614.0,Female,35-44,High,"[""Other family members"", ""Children under 18 years old"", ""Partner / spouse"", ""Parents""]",5+,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To live longer"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Swimming"", ""Yoga/Pilates"", ""Aerobics"", ""Spinning"", ""Cardio / Aerobics / Water aerobics"", ""Strength training"", ""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk""]","[""Caffeine"", ""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Checking emails""]"
341,767094774.0,Male,35-44,Medium,"[""Parents""]",3,"[""Meditation / positive mindset methods"", ""Taking time to relax"", ""Exercise regularly"", ""Take vitamin / other supplements""]","[""To support my family"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""High protein"", ""Flexitarian: eat meat but control the amount eaten"", ""Low sugar""]","[""Cooking more meals at home"", ""Snacking less often"", ""Eating out / ordering takeout less frequently""]",3+ times a week,"[""Yoga/Pilates"", ""Running"", ""Walking""]","[""Meditate"", ""Have warm milk""]","[""Caffeine"", ""Heavy meal""]"
343,6544912311.0,Female,35-44,Low,"[""Children under 18 years old""]",2,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated""]","[""To support my family"", ""Have more energy"", ""To lose / manage my weight""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Cooking more meals at home""]",Twice a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
346,25493189316.0,Male,45+,Low,"[""Other family members""]",5+,"[""Exercise regularly""]","[""To live longer""]","[""None of the above""]","[""Other""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
348,6660139122.0,Male,25-34,High,"[""Children under 18 years old"", ""Parents""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Watching the size of my portions"", ""Shopping at places that have a wide selection of healthy options"", ""Cooking more meals at home""]",3+ times a week,"[""Weights""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Heavy meal"", ""Browsing on my cell phone / tablet""]"
349,615796608.0,Male,25-34,Medium,"[""I live alone""]",2,"[""Stay hydrated""]","[""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Once a week,"[""Cycling""]","[""Have herbal tea""]","[""No, none of these""]"
350,3447481622.0,Female,45+,Medium,"[""I live alone""]",1,"[""Stay hydrated"", ""Exercise regularly"", ""Stress control methods"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""Have more energy"", ""I feel pressured because everyone else is doing it""]","[""Vegan: eat no meat, fish, or dairy""]","[""Checking nutritional value of the food / drink I purchase"", ""Eating out at places that have healthy options available""]",Once a week,"[""Cycling""]","[""Take sleeping tablets""]","[""Browsing on my cell phone / tablet""]"
353,1460183645.0,Male,45+,High,"[""Other family members""]",5+,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Halal"", ""Dairy free"", ""Low salt"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often"", ""Intermittent fasting""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
356,375319980.0,Female,45+,Low,"[""Other family members"", ""Children over 18 years old"", ""Partner / spouse""]",,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Low sugar"", ""High protein"", ""Low / zero carb"", ""Low salt""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
357,6209864035.0,Male,18-24,Medium,"[""Parents""]",4,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Cooking more meals at home""]",3+ times a week,"[""Cycling"", ""Running"", ""Swimming""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk""]","[""Caffeine"", ""Browsing on my cell phone / tablet"", ""Alcohol"", ""Watching TV""]"
359,4824157250.0,Female,25-34,Low,"[""Children under 18 years old"", ""Partner / spouse""]",3,"[""Stay hydrated"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Halal""]","[""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Eating out / ordering takeout less frequently"", ""Watching the size of my portions""]",Few times a month,"[""Other"", ""Cycling""]","[""No, none of these""]","[""Heavy meal"", ""Browsing on my cell phone / tablet""]"
365,561921312.0,Male,35-44,Medium,"[""Friends / Flatmates""]",2,"[""Eat healthily""]","[""To live longer"", ""Have more energy""]","[""Low calorie""]","[""Snacking less often""]",3+ times a week,"[""Other""]","[""No, none of these""]","[""No, none of these""]"
367,2959679448.0,Female,18-24,Low,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Low / zero carb""]","[""Making an effort to find healthy recipes""]",Once a week,"[""Spinning""]","[""No, none of these""]","[""No, none of these""]"
368,1197675864.0,Female,46-55,High ,"[""Children over 18 years old"", ""Partner / spouse""]",,"[""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Drink lots of water/fluids""]","[""To support my family"", ""Have more energy"", ""To lose / manage my weight""]","[""None of the above""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
369,5094551262.0,Female,25-34,High,"[""Partner / spouse""]",2,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal"", ""Low calorie""]","[""Checking nutritional value of the food / drink I purchase"", ""Making an effort to find healthy recipes"", ""Intermittent fasting""]",Once a week,"[""Circuit training/ HIIT"", ""Other""]","[""No, none of these""]","[""Heavy meal""]"
370,2778456075.0,Female,45+,Medium,"[""Friends / Flatmates""]",2,"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""Have more energy"", ""To improve my sleep""]","[""Low sugar"", ""Low cholesterol"", ""Low salt"", ""Low / zero carb""]","[""None of the above""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
372,6138527813.0,Female,18-24,Medium,"[""Parents""]",3,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To make the most of treats / indulgent moments""]","[""None of the above""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Doing a cleanse"", ""Counting / tracking calories"", ""Cooking more meals at home"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Yoga/Pilates"", ""Hiking"", ""Walking"", ""Aerobics""]","[""Have a bath""]","[""No, none of these""]"
373,1057899384.0,Female,45+,Medium,"[""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To live longer"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Pescatarian: eat no meat"", ""Vegetarian: eat no meat or fish"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""Low / zero carb""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often"", ""Intermittent fasting""]",3+ times a week,"[""Yoga/Pilates"", ""Cardio / Aerobics / Water aerobics"", ""Aerobics""]","[""Other"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Heavy meal"", ""Browsing on my mobile  phone / tablet"", ""Checking emails""]"
375,6100648100.0,Female,18-24,Low,"[""Partner / spouse""]",3,"[""Stay hydrated"", ""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy"", ""To lose / manage my weight""]","[""None of the above""]","[""Checking nutritional value of the food / drink I purchase"", ""Snacking less often"", ""Watching the size of my portions""]",Never,,"[""No, none of these""]","[""Heavy meal"", ""Browsing on my cell phone / tablet""]"
377,5548561020.0,Male,18-24,Medium,"[""Parents""]",4,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To make the most of treats / indulgent moments"", ""To manage a health / medical condition""]","[""None of the above""]","[""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
378,6179686845.0,Female,18-24,High,"[""Other family members""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Stress control methods""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low / zero carb"", ""Paleo"", ""Low sugar""]","[""Watching the size of my portions"", ""Snacking less often"", ""Shopping at places that have a wide selection of healthy options"", ""Eating dessert less often"", ""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Walking"", ""Aerobics""]","[""Have a bath""]","[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
383,3074175780.0,Male,25-34,High,"[""Partner / spouse""]",1,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To live longer"", ""To make the most out of/enjoy life"", ""Have more energy""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Twice a week,"[""Other"", ""Running""]","[""No, none of these""]","[""Caffeine""]"
384,3175654468.0,Male,35-44,High,"[""Partner / spouse""]",3,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated""]","[""To live longer"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar""]","[""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",Less often,,"[""Have herbal tea""]","[""Heavy meal"", ""Alcohol""]"
390,5197781694.0,Male,18-24,Low,"[""Other family members"", ""Parents""]",4,"[""Exercise regularly""]","[""To set a good example for my family"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Keto""]","[""Checking / reading the ingredients in food / drink products""]",3+ times a week,"[""Running""]","[""Have a bath""]","[""Alcohol""]"
391,2679153318.0,Female,25-34,Medium,"[""Parents""]",5+,"[""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To set a good example for my family""]","[""Vegetarian: eat no meat or fish""]","[""Making an effort to find healthy recipes""]",Less often,,"[""Other""]","[""Caffeine""]"
393,3142619040.0,Female,18-24,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Taking time to relax"", ""Make sure I get enough sleep""]","[""Prevent health conditions in later life"", ""Specific event (e.g. holiday, wedding)"", ""To set a good example for my family""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
394,713118393.0,Female,45+,Low,"[""Children under 18 years old"", ""Partner / spouse""]",3,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Stress control methods""]","[""To make the most out of/enjoy life"", ""Have more energy"", ""To set a good example for my family""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often"", ""Watching the size of my portions""]",Twice a week,"[""Walking"", ""Weights""]","[""No, none of these""]","[""No, none of these""]"
397,5237033200.0,Male,25-34,High,"[""Parents""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Drink lots of water / fluids""]","[""To live longer"", ""To support my family"", ""Prevent health conditions in later life""]","[""Halal""]","[""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Strength training"", ""Running"", ""Weights""]","[""Have herbal tea"", ""Have a malted milk drink""]","[""Caffeine""]"
398,4991753304.0,Male,18-24,Low,"[""Parents""]",2,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Stress control methods""]","[""Feeling good about myself"", ""Have more energy"", ""To make the most of treats / indulgent moments""]","[""None of the above""]","[""Snacking less often"", ""Cooking more meals at home""]",3+ times a week,"[""Strength training"", ""Cycling""]","[""No, none of these""]","[""Caffeine""]"
399,5637241157.0,Female,35-44,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products""]",Less often,,"[""Take sleeping tablets""]","[""No, none of these""]"
400,3711748152.0,Female,45+,Medium,"[""Children over 18 years old"", ""Partner / spouse""]",3,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To make the most out of/enjoy life"", ""Feeling good about myself"", ""Have more energy""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low salt"", ""Low sugar""]","[""Watching the size of my portions"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Watching TV""]"
401,1601878159.0,Male,18-24,High,"[""I live alone""]",1,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To live longer"", ""Feeling good about myself"", ""To manage a health / medical condition""]","[""Halal""]","[""Eating out / ordering takeout less frequently""]",Never,,"[""Have a bath""]","[""Alcohol""]"
404,1396440480.0,Female,45+,High,"[""Parents""]",2,"[""Take vitamin / other supplements""]","[""To live longer"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Paleo""]","[""Snacking less often"", ""Eating dessert less often""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
405,7582747648.0,Female,45+,High,"[""Other family members""]",4,"[""Eat healthily"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods""]","[""To live longer"", ""To support my family"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Snacking less often"", ""Eating dessert less often"", ""Cooking more meals at home""]",Twice a week,"[""Walking""]","[""Have a bath"", ""Have warm milk""]","[""Heavy meal"", ""Watching TV"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Alcohol""]"
408,4085907336.0,Female,35-44,Medium,"[""Children over 18 years old"", ""Partner / spouse""]",3,"[""Drink lots of water / fluids""]","[""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often""]",Twice a week,"[""Cycling""]","[""Have warm milk""]","[""Caffeine"", ""Checking emails""]"
409,722008368.0,Male,45+,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Stress control methods"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To live longer"", ""To improve brain function/ memory"", ""To set a good example for my family""]","[""Dairy free"", ""Low salt"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often"", ""Trying to have a variety of colors on my plate""]",Few times a month,"[""Hiking"", ""Walking""]","[""No, none of these""]","[""Heavy meal""]"
411,5848700154.0,Female,25-34,Medium,"[""I live alone""]",1,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Stress control methods""]","[""To support my family"", ""To make the most out of/enjoy life"", ""To lose / manage my weight""]","[""Keto""]","[""Filling half my plate with vegetables""]",Twice a week,"[""Other""]","[""Have a bath""]","[""Caffeine"", ""Heavy meal""]"
418,1104431296.0,Female,18-24,Medium,"[""Parents""]",5+,"[""Eat healthily"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To improve my sleep"", ""Prevent health conditions in later life""]","[""Vegetarian: eat no meat or fish""]","[""Eating dessert less often""]",Few times a month,"[""Running""]","[""No, none of these""]","[""Watching TV""]"
421,3263882499.0,Male,25-34,Medium,"[""Friends / Roommates"", ""Parents""]",4,"[""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To improve brain function/ memory"", ""To improve my sleep"", ""To make the most of treats / indulgent moments""]","[""Kosher"", ""Low / zero carb""]","[""Snacking less often"", ""Eating out at places that have healthy options available"", ""Counting / tracking calories"", ""Watching the size of my portions""]",3+ times a week,"[""Yoga/Pilates"", ""Strength training"", ""Walking"", ""Swimming""]","[""No, none of these""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
422,5183297325.0,Male,18-24,High,"[""Parents""]",5+,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Have more energy"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""High protein"", ""Flexitarian: eat meat but control the amount eaten"", ""Halal""]","[""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Eating out at places that have healthy options available"", ""Cooking more meals at home""]",Few times a month,"[""Running"", ""Walking"", ""Cycling""]","[""No, none of these""]","[""Alcohol""]"
